ID,Category,Item Name,Sentence Template,Correct Number,Unit,Is Mastered
94,其他,抹茶拿鐵（Ｍ）,抹茶拿鐵需要 [NUM] ml的熱水。,160,ml,✗ 未掌握
95,其他,抹茶拿鐵（Ｍ）,抹茶拿鐵需要 [NUM] ml的牛奶。,120,ml,✗ 未掌握
32,義式咖啡,世界冠軍拿鐵（L）,世界冠軍拿鐵（L）需要[NUM]ml的牛奶,300,ml,✓ 已掌握
31,義式咖啡,世界冠軍拿鐵（M）,世界冠軍拿鐵(Ｍ)需要[NUM]ml的牛奶。,250,ml,✓ 已掌握
33,義式咖啡,世界冠軍拿鐵（XL）,世界冠軍拿鐵（XL）需要[NUM]ml的牛奶,400,ml,✓ 已掌握
39,義式咖啡,卡布奇諾（L）,卡布奇諾（L）需要 [NUM] ml的牛奶。,250,ml,✗ 未掌握
38,義式咖啡,卡布奇諾（M）,卡布奇諾（M）需要 [NUM] ml的牛奶。,200,ml,✓ 已掌握
51,義式咖啡,摩卡（L）,摩卡（L）需要 [NUM] g的巧克力醬。,35,g,✓ 已掌握
53,義式咖啡,摩卡（L）,摩卡（L）需要 [NUM] ml的牛奶。,300,ml,✓ 已掌握
50,義式咖啡,摩卡（M）,摩卡（M）需要 [NUM] g的巧克力醬。,25,g,✗ 未掌握
52,義式咖啡,摩卡（M）,摩卡（M）需要 [NUM] ml的牛奶。,250,ml,✗ 未掌握
56,義式咖啡,桂花冠軍拿鐵（L）,桂花冠軍拿鐵（L）需要 [NUM] g的桂花釀。,25,g,✓ 已掌握
57,義式咖啡,桂花冠軍拿鐵（L）,桂花冠軍拿鐵（L）需要 [NUM] ml的牛奶。,300,g,✗ 未掌握
54,義式咖啡,桂花冠軍拿鐵（M）,桂花冠軍拿鐵（M）需要 [NUM] g的桂花釀。,20,g,✗ 未掌握
55,義式咖啡,桂花冠軍拿鐵（M）,桂花冠軍拿鐵（M）需要 [NUM] ml的牛奶。,250,ml,✗ 未掌握
60,義式咖啡,烤糖冠軍拿鐵（L）,烤糖冠軍拿鐵（L）需要 [NUM] g的黑糖。,20,g,✗ 未掌握
61,義式咖啡,烤糖冠軍拿鐵（L）,烤糖冠軍拿鐵（L）需要 [NUM] ml的牛奶。,300,ml,✗ 未掌握
58,義式咖啡,烤糖冠軍拿鐵（M）,烤糖冠軍拿鐵（M）需要 [NUM] g的黑糖。,15,g,✗ 未掌握
59,義式咖啡,烤糖冠軍拿鐵（M）,烤糖冠軍拿鐵（M）需要 [NUM] ml的牛奶。,250,ml,✗ 未掌握
44,義式咖啡,焦糖瑪其朵（L）,焦糖瑪其朵（L）需要 [NUM] g的香草糖。,30,g,✗ 未掌握
49,義式咖啡,焦糖瑪其朵（L）,焦糖瑪其朵（L）需要 [NUM] ml的牛奶。,300,ml,✗ 未掌握
46,義式咖啡,焦糖瑪其朵（L）半糖,焦糖瑪其朵（L）半糖需要 [NUM] g的香草糖。,15,g,✓ 已掌握
45,義式咖啡,焦糖瑪其朵（L）少糖,焦糖瑪其朵（L）少糖需要 [NUM] g的香草糖。,20,g,✗ 未掌握
47,義式咖啡,焦糖瑪其朵（L）微糖,焦糖瑪其朵（L）微糖 [NUM] g的香草糖。,1下10,g,✗ 未掌握
40,義式咖啡,焦糖瑪其朵（M）,焦糖瑪其朵（M）需要 [NUM] g的香草糖,2下20,g,✓ 已掌握
48,義式咖啡,焦糖瑪其朵（M）,焦糖瑪其朵（M）需要 [NUM] ml的牛奶。,250,ml,✓ 已掌握
42,義式咖啡,焦糖瑪其朵（M）半糖,焦糖瑪其朵（M）半糖需要 [NUM] g的香草糖。,1下10,g,✗ 未掌握
41,義式咖啡,焦糖瑪其朵（M）少糖,焦糖瑪其朵（M）少糖需要 [NUM] g的香草糖,1.5下15,g,✓ 已掌握
43,義式咖啡,焦糖瑪其朵（M）微糖,焦糖瑪其朵（M）微糖需要 [NUM] g的香草糖。,0.5下5,g,✓ 已掌握
35,義式咖啡,燕麥冠軍拿鐵（L）,燕麥冠軍拿鐵（L）需要[NUM]ml的燕麥奶。,300,ml,✓ 已掌握
34,義式咖啡,燕麥冠軍拿鐵（M）,燕麥冠軍拿鐵（M）需要[NUM]ml的燕麥奶。,250,ml,✗ 未掌握
36,義式咖啡,燕麥冠軍拿鐵（XL）,燕麥冠軍拿鐵（XL）需要 [NUM] ml的燕麥奶。,400,ml,✗ 未掌握
37,義式咖啡,燕麥冠軍拿鐵（XL）,燕麥冠軍拿鐵（XL）需要 [NUM] ml的燕麥奶。,400,ml,✗ 未掌握
78,茶,春玉蘭 綠鮮奶茶（L）,春玉蘭 綠鮮奶茶（L）需要 [NUM] ml的茶液。,260,ml,✗ 未掌握
79,茶,春玉蘭 綠鮮奶茶（L）,春玉蘭 綠鮮奶茶（L）需要 [NUM] ml的牛奶。,140,ml,✗ 未掌握
82,茶,春玉蘭 綠鮮奶茶（L）冰,春玉蘭 綠鮮奶茶（L）冰 需要 ____ ml的茶液。,200,ml,✗ 未掌握
83,茶,春玉蘭 綠鮮奶茶（L）冰,春玉蘭 綠鮮奶茶（L）冰 需要 ____ ml的牛奶。,90,ml,✗ 未掌握
86,茶,春玉蘭 綠鮮奶茶（L）去冰,春玉蘭 綠鮮奶茶（L）去冰 需要 ____ ml的茶液。,270,ml,✗ 未掌握
87,茶,春玉蘭 綠鮮奶茶（L）去冰,春玉蘭 綠鮮奶茶（L）去冰 需要 ____ ml的牛奶。,130, ml,✗ 未掌握
84,茶,春玉蘭 綠鮮奶茶（L）少冰,春玉蘭 綠鮮奶茶（L）少冰 需要 ____ ml的茶液。,270,ml,✗ 未掌握
85,茶,春玉蘭 綠鮮奶茶（L）少冰,春玉蘭 綠鮮奶茶（L）少冰 需要 ____ ml的牛奶。,90,ml,✓ 已掌握
80,茶,春玉蘭 綠鮮奶茶（XL),春玉蘭 綠鮮奶茶（XL) 需要 [NUM] ml的牛奶。,170,ml,✗ 未掌握
81,茶,春玉蘭 綠鮮奶茶（XL),春玉蘭 綠鮮奶茶（XL) 需要 [NUM] ml的茶液。,350,ml,✗ 未掌握
88,茶,春玉蘭 綠鮮奶茶（XL）冰,春玉蘭 綠鮮奶茶（XL）冰 需要 ____ ml的茶液。,240,ml,✗ 未掌握
89,茶,春玉蘭 綠鮮奶茶（XL）冰,春玉蘭 綠鮮奶茶（XL）冰 需要 ____ ml的牛奶。,110,ml,✓ 已掌握
91,茶,春玉蘭 綠鮮奶茶（XL）去冰,春玉蘭 綠鮮奶茶（XL）去冰 需要 ____ ml的茶液。,310,ml,✓ 已掌握
93,茶,春玉蘭 綠鮮奶茶（XL）去冰,春玉蘭 綠鮮奶茶（XL）去冰 需要 ____ ml的牛奶。,160,ml,✗ 未掌握
90,茶,春玉蘭 綠鮮奶茶（XL）少冰,春玉蘭 綠鮮奶茶（XL）少冰 需要 ____ ml的茶液。,310,ml,✓ 已掌握
92,茶,春玉蘭 綠鮮奶茶（XL）少冰,春玉蘭 綠鮮奶茶（XL）少冰 需要 ____ ml的牛奶。,110,ml,✗ 未掌握
62,茶,春玉蘭綠茶（L）,春玉蘭綠茶需要 [NUM] ml的茶液。,200,ml,✗ 未掌握
63,茶,春玉蘭綠茶（L）,春玉蘭綠茶需要 [NUM] ml的熱水。,200,ml,✗ 未掌握
66,茶,春玉蘭綠茶（L）冰,春玉蘭綠茶（L）冰 需要 [NUM] ml的茶液。,200,ml,✗ 未掌握
67,茶,春玉蘭綠茶（L）冰,春玉蘭綠茶（L）冰 需要 [NUM] ml的熱水。,50,ml,✓ 已掌握
70,茶,春玉蘭綠茶（L）去冰,春玉蘭綠茶（L）去冰 需要 [NUM] ml的茶液。,240,ml,✗ 未掌握
71,茶,春玉蘭綠茶（L）去冰,春玉蘭綠茶（L）去冰 需要 [NUM] ml的熱水。,120,ml,✗ 未掌握
68,茶,春玉蘭綠茶（L）少冰,春玉蘭綠茶（L）少冰 需要 [NUM] ml的茶液。,240,ml,✗ 未掌握
69,茶,春玉蘭綠茶（L）少冰,春玉蘭綠茶（L）少冰 需要  [NUM] ml的熱水,50,ml,✗ 未掌握
64,茶,春玉蘭綠茶（XL）,春玉蘭綠茶（XL）需要 [NUM] ml的茶液。,280,ml,✗ 未掌握
65,茶,春玉蘭綠茶（XL）,春玉蘭綠茶（XL）需要 [NUM] ml的熱水。,280,ml,✗ 未掌握
72,茶,春玉蘭綠茶（XL）冰,春玉蘭綠茶（XL）冰 需要 [NUM] ml的茶液。,280,ml,✓ 已掌握
73,茶,春玉蘭綠茶（XL）冰,春玉蘭綠茶（XL）冰 需要 [NUM] ml的熱水。,70,ml,✗ 未掌握
76,茶,春玉蘭綠茶（XL）去冰,春玉蘭綠茶（XL）去冰 需要 [NUM] ml的茶液。,330,ml,✗ 未掌握
77,茶,春玉蘭綠茶（XL）去冰,春玉蘭綠茶（XL）去冰 需要 [NUM] ml的熱水。,130,ml,✓ 已掌握
74,茶,春玉蘭綠茶（XL）少冰,春玉蘭綠茶（XL）少冰 需要 [NUM] ml的茶液。,330,ml,✗ 未掌握
75,茶,春玉蘭綠茶（XL）少冰,春玉蘭綠茶（XL）少冰 需要 [NUM] ml的熱水。,70,ml,✗ 未掌握
2,黑咖啡,黑咖啡(L),黑咖啡(L)需要[NUM]ml的咖啡液。,200,ml,✗ 未掌握
14,黑咖啡,黑咖啡(L),黑咖啡(L)需要[NUM]ml的熱水。,210,ml,✗ 未掌握
1,黑咖啡,黑咖啡(M),黑咖啡(M)需要[NUM]ml的咖啡液。,160,ml,✓ 已掌握
13,黑咖啡,黑咖啡(M),黑咖啡(M)需要[NUM]ml的熱水。,170,ml,✓ 已掌握
3,黑咖啡,黑咖啡(XL),黑咖啡(XL)需要[NUM]ml的咖啡液。,280,ml,✗ 未掌握
15,黑咖啡,黑咖啡(XL),黑咖啡(XL)需要[NUM]ml的熱水。,290,ml,✓ 已掌握
5,黑咖啡,黑咖啡加厚(L),黑咖啡加厚(L)需要[NUM]ml的咖啡液。,240,ml,✗ 未掌握
17,黑咖啡,黑咖啡加厚(L),黑咖啡加厚(L)需要[NUM]ml的熱水。,170,ml,✓ 已掌握
4,黑咖啡,黑咖啡加厚(M),黑咖啡加厚(M)需要[NUM]ml的咖啡液。,200,ml,✓ 已掌握
16,黑咖啡,黑咖啡加厚(M),黑咖啡加厚(M)需要[NUM]ml的熱水。,130,ml,✗ 未掌握
6,黑咖啡,黑咖啡加厚(XL),黑咖啡加厚(XL)需要[NUM]ml的咖啡液。,330,ml,✓ 已掌握
18,黑咖啡,黑咖啡加厚(XL),黑咖啡加厚(XL)需要[NUM]ml的熱水。,240,ml,✗ 未掌握
11,黑咖啡,黑咖啡加厚加牛奶(L),黑咖啡加厚加牛奶(L)需要[NUM]ml的咖啡液。,240,ml,✗ 未掌握
23,黑咖啡,黑咖啡加厚加牛奶(L),黑咖啡加厚加牛奶(L)需要[NUM]ml的熱水。,70,ml,✓ 已掌握
29,黑咖啡,黑咖啡加厚加牛奶(L),黑咖啡加厚加牛奶(L)需要[NUM]ml的牛奶。,100,ml,✓ 已掌握
10,黑咖啡,黑咖啡加厚加牛奶(M),黑咖啡加厚加牛奶(M)需要[NUM]ml的咖啡液。,200,ml,✓ 已掌握
22,黑咖啡,黑咖啡加厚加牛奶(M),黑咖啡加厚加牛奶(M)需要[NUM]ml的熱水。,30,ml,✗ 未掌握
28,黑咖啡,黑咖啡加厚加牛奶(M),黑咖啡加厚加牛奶(M)需要[NUM]ml的牛奶。,100,ml,✓ 已掌握
12,黑咖啡,黑咖啡加厚加牛奶(XL),黑咖啡加厚加牛奶(XL)需要[NUM]ml的咖啡液。,330,ml,✓ 已掌握
24,黑咖啡,黑咖啡加厚加牛奶(XL),黑咖啡加厚加牛奶(XL)需要[NUM]ml的熱水。,140,ml,✓ 已掌握
30,黑咖啡,黑咖啡加厚加牛奶(XL),黑咖啡加厚加牛奶(XL)需要[NUM]ml的牛奶。,100,ml,✓ 已掌握
8,黑咖啡,黑咖啡加牛奶(L),黑咖啡加牛奶(L)需要[NUM]ml的咖啡液。,200,ml,✓ 已掌握
20,黑咖啡,黑咖啡加牛奶(L),黑咖啡加牛奶(L)需要[NUM]ml的熱水。,110,ml,✓ 已掌握
26,黑咖啡,黑咖啡加牛奶(L),黑咖啡加牛奶(L)需要[NUM]ml的牛奶。,100,ml,✓ 已掌握
7,黑咖啡,黑咖啡加牛奶(M),黑咖啡加牛奶(M)需要[NUM]ml的咖啡液。,160,ml,✗ 未掌握
19,黑咖啡,黑咖啡加牛奶(M),黑咖啡加牛奶(M)需要[NUM]ml的熱水。,70,ml,✗ 未掌握
25,黑咖啡,黑咖啡加牛奶(M),黑咖啡加牛奶(M)需要[NUM]ml的牛奶。,100,ml,✗ 未掌握
9,黑咖啡,黑咖啡加牛奶(XL),黑咖啡加牛奶(XL)需要[NUM]ml的咖啡液。,280,ml,✗ 未掌握
21,黑咖啡,黑咖啡加牛奶(XL),黑咖啡加牛奶(XL)需要[NUM]ml的熱水。,190,ml,✓ 已掌握
27,黑咖啡,黑咖啡加牛奶(XL),黑咖啡加牛奶(XL)需要[NUM]ml的牛奶。,100,ml,✗ 未掌握
